johnmurphy@Johns-MacBook-Pro stephen-python-words % python3 03\ based\ on\ individual\ buys\ strategy\ copy.py 
Word: RECZSCOREDIFF320, Mean Trend (%): 38.757679239570564
Word: TIMETOFLIP, Mean Trend (%): 34.152943805264385
Word: fuck, Mean Trend (%): 25.043349093824474
Word: RECZSCOREDIFF240, Mean Trend (%): 20.752491370357117
Word: RECZSCOREDIFFN560, Mean Trend (%): 20.228353446005656
Word: SUPERDUPERSTRONG_BONUSOFFSET, Mean Trend (%): 18.666362914468802
Word: PDOLVOLGT100M, Mean Trend (%): 18.21917708652982
Word: FIFTY_STSENTOFFSET, Mean Trend (%): 15.859794067433096
Word: RECZSCOREDIFF0, Mean Trend (%): 15.737735734174
Word: RECZSCOREDIFFN240, Mean Trend (%): 14.576272204997876
Word: ZSCORESUMGT1500, Mean Trend (%): 14.051448588173395
Word: WORDMULT200, Mean Trend (%): 13.146129506786684
Word: PDOLVOLLT20M, Mean Trend (%): 13.034658941447498
Word: BBSCOREGT50, Mean Trend (%): 12.949041064693066
Word: SHORTINTERESTLT15, Mean Trend (%): 12.887612983940679
Word: RECZSCOREDIFFN640, Mean Trend (%): 12.610700304480234
Word: SUPERDUPERSTRONG_RECOFFSET, Mean Trend (%): 12.43055135489104
Word: SUPERDUPERSTRONG_RSIOFFSET, Mean Trend (%): 12.353913035173948
Word: ACTONBUYMULTTIMEBRUNCH, Mean Trend (%): 12.31035167049163
Word: AVERAGE DOWNWF, Mean Trend (%): 12.043537262467364
Word: INFLATIONCOUNTGT70, Mean Trend (%): 11.751810025752805
Word: oneToTwo, Mean Trend (%): 11.564530873729916
Word: down15, Mean Trend (%): 11.199556623377037
Word: initial, Mean Trend (%): 11.199556623377037
Word: HOTCOUNTWORD10, Mean Trend (%): 11.051716392990684
Word: straightDown120, Mean Trend (%): 10.843586519380308
Word: failedHistoricalCheck, Mean Trend (%): 10.490079365079293
Word: DTSCORELTNEG400, Mean Trend (%): 10.420969399032415
Word: RETURNLTNEG12, Mean Trend (%): 10.414146510463068
Word: split, Mean Trend (%): 10.161825524524218
Word: RECZSCOREDIFF280, Mean Trend (%): 10.142227480016789
Word: reverse split, Mean Trend (%): 10.072358558788258
Word: SUPERDUPERSTRONG_JOHNSFAVOFFSET, Mean Trend (%): 10.04513155002905
Word: ZSCORESUMGT1600, Mean Trend (%): 10.03722536961164
Word: FIFTY_VOLUMETOFLOATOFFSET, Mean Trend (%): 10.033557469873637
Word: HOTCOUNTWORD6, Mean Trend (%): 10.006486750137976
Word: LOWESTSINGLEWORDPERC, Mean Trend (%): 9.967074902856277
Word: BBSCORELTN100, Mean Trend (%): 9.918210794242784
Word: ZSCORESUMGT200, Mean Trend (%): 9.836409125088851
Word: FIFTY_RECENTPICKTRENDOFFSET, Mean Trend (%): 9.519867494342988
